year,party,n,econ_mean,cult_mean,econ_sd,cult_sd
1986,D,363,-0.0743801652892562,0.04981634527089073,0.3574259505909552,0.38272644889310575
1986,I,78,0.029914529914529916,0.12232905982905982,0.3570273477496879,0.35376358054767043
1986,R,279,0.24651533253683788,0.17144563918757472,0.32842955282452163,0.3562389279224316
1988,D,438,-0.09309994926433283,0.051750380517503816,0.35888420278248323,0.3717107298157801
1988,I,78,0.054131054131054145,0.11111111111111113,0.33178347656633017,0.3972879630017236
1988,R,483,0.28249367379802165,0.2554347826086957,0.32725381136901915,0.35702744156838456
1990,D,264,-0.1351010101010101,0.04261363636363636,0.3652439737925826,0.36347562274871764
1990,I,38,0.12280701754385963,0.2631578947368421,0.3575869180400105,0.3589531134317566
1990,R,238,0.1904761904761905,0.21603641456582634,0.35287941797096223,0.36078190786382275
1992,D,624,-0.11987002103826144,-0.03892663206756599,0.33156915954811444,0.37907175665093024
1992,I,128,0.04052004802704484,0.07433068437491572,0.3216987570026635,0.37456164956202914
1992,R,572,0.287630595440945,0.2561105847781947,0.3276269003889049,0.37976135097276403
1994,D,532,-0.05779000594510254,0.03199983342360826,0.35134505075217687,0.3800045810233185
1994,I,94,0.09666477147591404,0.20553250665679854,0.33923712152153723,0.384191074902474
1994,R,594,0.3459127340738334,0.3472106574426351,0.3471625778503302,0.34898990653167783
1996,D,489,-0.06954997639748897,0.06721626825140055,0.30686994269018636,0.3762817460111882
1996,I,65,0.07290487912669456,0.15964098495980272,0.30881590281228427,0.3314674170754487
1996,R,458,0.37534740993172655,0.3740732211596711,0.32936588583690074,0.3466917327593709
1998,D,436,-0.13676169463688037,-0.004084955101857038,0.34171642291921683,0.390089228119011
1998,I,66,0.0030586914219814586,0.10255104671547903,0.3439053180486984,0.3104948888430345
1998,R,344,0.23758737515746223,0.3160751699717014,0.3533334435401943,0.3619139399181618
2000,D,123,-0.08495450286533437,0.07723484874706654,0.31852199443504475,0.36969267382216575
2000,I,21,0.09377308305095415,0.34065987300388534,0.36716640948752155,0.3239228065125193
2000,R,119,0.3029219314972031,0.36125947636529554,0.3102701472055938,0.378055181426629
2004,D,303,-0.21951011527264686,-0.09556647158443017,0.32477352047791824,0.3939448112568947
2004,I,50,0.009480599745649234,0.14017329195516406,0.3349426653525731,0.3493851432494682
2004,R,311,0.30463426202338184,0.346080553851141,0.3720270898327995,0.35024373135407183
2008,D,318,-0.21721645902519487,-0.07141548748499511,0.3311969047137085,0.40043293017781256
2008,I,50,-0.008730231078860952,0.15995399490723017,0.3322072626930326,0.36393444163421224
2008,R,212,0.3667634019196737,0.32964852212397616,0.365655200070321,0.3922834456876787
2012,D,1975,-0.17761044170651707,-0.1092866567616699,0.3149793279232858,0.3723192993791596
2012,I,467,0.06624163926731273,0.14920848555132327,0.3164177293138361,0.3643975082720609
2012,R,1551,0.4429694523415225,0.40934424291715127,0.33325916574587605,0.35798471137728805
2016,D,1068,-0.2655350339668051,-0.2761163626902257,0.3264290646059321,0.3953941501965664
2016,I,213,-0.0015982166574925257,-0.008522703932828894,0.35018826281196713,0.41416634737643426
2016,R,1095,0.43630702368737867,0.35326518054081485,0.3391127962190066,0.3802956489846108
2020,D,2443,-0.418528261536758,-0.4197086198965275,0.32420641312623766,0.3669500564979726
2020,I,416,-0.036087597217876986,-0.03367176105290626,0.367996757601586,0.3872890194047371
2020,R,2159,0.4197201386007147,0.3635068505454754,0.3465070205251767,0.39479550514983813
2024,D,1660,-0.4003520109582832,-0.39485025509564453,0.3406717752009765,0.3565742582421576
2024,I,128,-0.09297238305533771,0.0280841263595207,0.3372091058989461,0.38488102900578924
2024,R,1418,0.3595678205673632,0.33868512381287735,0.3774968867740599,0.36991965171154967
