seed,decade,wasserstein,corr_xy,var_x,var_y,mean_abs_x,mean_abs_y,n_local_max,q_ll,q_lr,q_ul,q_ur,degraded
0,1980,0.25872602196167255,-0.02353652015300466,0.1705455856454601,0.1908419889651433,0.3343529462401828,0.3479560791347808,2,0.252,0.256,0.268,0.224,False
0,1990,0.3363134471172378,0.15115871668541286,0.09209471922175544,0.07326053821799573,0.25092766591965593,0.21158829580208705,1,0.224,0.256,0.256,0.264,False
0,2000,0.41257241038615616,0.3527464009878784,0.082699930439044,0.036786136395161234,0.2488219138615335,0.1494085976594178,1,0.276,0.228,0.172,0.324,False
0,2010,0.40901839492220826,0.42685315467876744,0.1047149979553308,0.04583312717613877,0.28612393206877507,0.16573474574005687,2,0.3,0.156,0.152,0.392,False
0,2020,0.41125065806656697,0.546124930134539,0.13658723483495913,0.043559146336212794,0.33097606192108125,0.17302053402736448,2,0.324,0.104,0.16,0.412,False
1,1980,0.24011978205682666,-0.08254390732533212,0.17391971357330588,0.2198891816898421,0.33782513965311495,0.379814567435583,1,0.244,0.24,0.248,0.268,False
1,1990,0.32361839008392507,0.040463584901490955,0.09924383621954794,0.08548735540868506,0.2618407535328738,0.2346182883118513,1,0.308,0.22,0.192,0.28,False
1,2000,0.43716774762956767,0.22777190849802673,0.08471685404512726,0.0342641399707648,0.24413786796856618,0.14943711165438736,1,0.312,0.196,0.18,0.312,False
1,2010,0.3969328119996741,0.3752722936547933,0.11619121299019769,0.0328889618391956,0.2892623437277495,0.14527813160554057,1,0.38,0.172,0.128,0.32,False
1,2020,0.42958637409014677,0.5108157435744684,0.14765984053864137,0.03643831838725258,0.3366312890934546,0.15594997528997492,3,0.38,0.132,0.132,0.356,False
2,1980,0.2585084018024403,0.017925658375592245,0.20772050453610622,0.17758302797174189,0.37246483944535563,0.3349692080508629,1,0.224,0.292,0.208,0.276,False
2,1990,0.33927646024630503,0.14292428630182866,0.1081536685534043,0.06701880774339412,0.27874270268545825,0.20812528205651126,2,0.208,0.28,0.152,0.36,False
2,2000,0.4245184640809338,0.3159715388739207,0.09198782038927872,0.039610836376881314,0.26829106023599514,0.15214513520483183,2,0.284,0.256,0.092,0.368,False
2,2010,0.38433279566852047,0.38571406239786854,0.11865581516848835,0.041034100408510375,0.30005552709798744,0.15880688586909128,2,0.312,0.208,0.108,0.372,False
2,2020,0.40996744278758607,0.5342777897541958,0.14473141809121204,0.046673213514302474,0.33962178936807425,0.17117574991414142,2,0.36,0.144,0.088,0.408,False
3,1980,0.24617552097250495,-0.04818137345125287,0.19299392473468607,0.1867924036770951,0.3519422417363364,0.3474713725546179,1,0.24,0.232,0.296,0.232,False
3,1990,0.3321377483367718,0.18789974809872162,0.09841352922227223,0.05498456166656132,0.2588041780904844,0.18616859472767686,1,0.296,0.152,0.288,0.264,False
3,2000,0.44308811258048014,0.33279048471107964,0.08556593495107287,0.032283598263371,0.24474732576664543,0.1416902692560449,1,0.34,0.128,0.208,0.324,False
