scale,sigma,boost,w2_1980,w2_1990,w2_2000,w2_2010,w2_2020,w2_total,cells_in_band,cells_total,gate_pass
0.5,0.05,0.0,0.4504673144250547,0.5115129760629723,0.4945074616381001,0.44373455116101174,0.44863470993622484,2.348857013223364,4,24,False
0.5,0.05,0.2,0.4504673144250547,0.5093051885400872,0.4960278103772688,0.4472221939011661,0.45253129498098543,2.355553802224562,4,24,False
0.5,0.05,0.5,0.4504673144250547,0.505733511850803,0.49796274964300746,0.45230831026835505,0.45873431227730943,2.36520619846453,4,24,False
0.5,0.1,0.0,0.42328977152742003,0.5049779412646084,0.4948955567263944,0.44292664755691896,0.4482089798240989,2.314298896899441,4,24,False
0.5,0.1,0.2,0.42328977152742003,0.5019477522570275,0.49597482477039845,0.4459947702020234,0.45213833317734464,2.319345451934214,4,24,False
0.5,0.1,0.5,0.42328977152742003,0.49695136072167234,0.49728371244383435,0.45103395394917545,0.458221039788394,2.3267798384304963,4,24,False
0.5,0.15,0.0,0.3908754827816623,0.4916080663952509,0.4934942590814349,0.4437460945642827,0.44800670960385824,2.267730612426489,4,24,False
0.5,0.15,0.2,0.3908754827816623,0.4874999338321854,0.4941153240131969,0.44645898203518597,0.45143954940380127,2.2703892720660317,4,24,False
0.5,0.15,0.5,0.3908754827816623,0.48087437194909033,0.49424239855295327,0.4503533256744885,0.4566465225427227,2.272992101500917,4,24,False
0.7,0.05,0.0,0.3977027184191092,0.46294635156327046,0.46575050416251573,0.42461528824349193,0.430659840193265,2.1816747025816525,6,24,False
0.7,0.05,0.2,0.3977027184191092,0.45924258181771327,0.46610161887945784,0.42749882858042304,0.4349023552126865,2.18544810290939,6,24,False
0.7,0.05,0.5,0.3977027184191092,0.45325437384673367,0.4655838561269042,0.4311565272585697,0.44085689714531134,2.1885543727966286,4,24,False
0.7,0.1,0.0,0.3722643478702846,0.4560772448079554,0.4650974348423661,0.42325486913351373,0.42967112290900705,2.1463650195631265,6,24,False
0.7,0.1,0.2,0.3722643478702846,0.45126225689035804,0.46493006907916196,0.4261133092630633,0.4334581602590335,2.1480281433619015,6,24,False
0.7,0.1,0.5,0.3722643478702846,0.4434107325222111,0.46390484021043427,0.4293483417650698,0.43910863302948355,2.1480368953974835,6,24,False
0.7,0.15,0.0,0.34458335276442653,0.4446798275517394,0.4645939874239402,0.4224781458381061,0.4285352704167319,2.1048705839949444,6,24,False
0.7,0.15,0.2,0.34458335276442653,0.43846346647256373,0.46344120553092216,0.42454943608090306,0.4316393839766177,2.1026768448254334,6,24,False
0.7,0.15,0.5,0.34458335276442653,0.42850370091124146,0.46037337887320273,0.4266065893816419,0.43637230086912593,2.0964393227996387,6,24,False
1.0,0.05,0.0,0.33236312300244675,0.39722404113287724,0.42579201494135754,0.39718183234928983,0.4026098331022115,1.9551708445281826,7,24,False
1.0,0.05,0.2,0.33236312300244675,0.3912574768592002,0.4220187282458633,0.3967219073027278,0.4052003787807067,1.9475616141909446,7,24,False
1.0,0.05,0.5,0.33236312300244675,0.38213632665701763,0.4144318632436413,0.39399754507840934,0.40591158782012704,1.928840445801642,4,24,False
1.0,0.1,0.0,0.30591775125129067,0.3901920815916874,0.4248701349923034,0.39640503280317857,0.4021959002894704,1.9195809009279303,7,24,False
1.0,0.1,0.2,0.30591775125129067,0.38279052874929337,0.4206995915488235,0.39663119123515045,0.4045455701653193,1.9105846329498772,7,24,False
1.0,0.1,0.5,0.30591775125129067,0.37071076171913964,0.41167756899342567,0.39238756721590773,0.4046917043580537,1.8853853535378176,7,24,False
1.0,0.15,0.0,0.28172381880396513,0.379736064197139,0.4233315879796985,0.3943346326948467,0.4003803515858821,1.8795064552615315,8,24,False
1.0,0.15,0.2,0.28172381880396513,0.3703520188021939,0.41798648084751366,0.3932560460879441,0.4015501039642698,1.864868468505887,8,24,False
1.0,0.15,0.5,0.28172381880396513,0.3555908292885799,0.4067444274545278,0.3897227362088084,0.40135067670860103,1.8351324884644824,9,24,False
